query_code,query_name,matched_code_1,matched_name_1,score_1,matched_code_2,matched_name_2,score_2,matched_code_3,matched_name_3,score_3
17029 0,麺つゆ－ストレート,90460,冷麺230g,0.21263,90460,冷麺230g,0.21263,130234,チョコレートソース,0.1892
51445 0,☆やわらかごぼうｻﾗﾀﾞ 焙,570323,QPやわらかごうぼうサラダ焙煎胡麻風味,0.62297,141104,焙煎胡麻ごぼうサラダ,0.4652,50390,ごぼう,0.38327
11454 0,☆味の素豚角切りから揚げ,150330,味の素,0.38298,20216,豚バラ角切り40g,0.23746,20212,豚バラ角切り30g,0.23746
5201411,☆乱切りピーマン,50130,ピーマン,0.59706,50131,赤ピーマン,0.4699,50131,赤ピーマン,0.4699
18378 0,ｹｰｵｰ緑黄食野菜豆腐ﾌｯｸﾗ,141013,惣菜野菜豆,0.21449,50410,オクラ,0.13972,50411,オクラ（冷）,0.13972
18066 0,シーフードステーキ,10302,シーフードミックス（あさり無し）,0.50087,20360,牛ステーキ,0.43348,20361,牛ヒレステーキ,0.33287
2111615,彩野菜醤油仕立て,150102,減塩醤油,0.15525,150160,一食醤油,0.15497,150160,一食醤油,0.15497
5180000,ＪＦＳＡチキンカツ50,170511,やさしい素材チキン,0.6101,170511,やさしい素材チキン,0.6101,80150,キンカン,0.53914
50048 0,☆ｱｶｲｶﾌﾗﾜｰｶｯﾄ(約8g),50430,カリフラワー,0.41593,50431,カリフラワー（冷）,0.41593,570325,やわらかイカフライ　６０ｇ,0.34136
50143 0,★枝豆がんも,50570,枝豆,0.4562,50571,枝豆（冷）,0.4562,520111,冷)がんもどき25g,0.38055
01473 0,デニッシュローフ,50482,ラディッシュ,0.24317,50731,マッシュルーム缶,0.21895,70120,マッシュポテト,0.20114
9002211,<KK>野菜揚 約60g 直送,570284,冷）野菜かき揚げ50g,0.16961,570284,冷）野菜かき揚げ50g,0.16961,570170,冷)野菜かき揚げ30g,0.16961
17033 0,ＪＦＳＡﾎﾞﾛﾆｱ(ﾐｰﾄ)ｿｰｽ,150276,チリソース（辛口）,0.19626,150277,チリソース（甘口）,0.19626,150454,ミートソース,0.18985
50423 0,☆ｲﾅｼｮｸ ｾﾞﾘｰの素(ｽﾄﾛ,J550335,メロンゼリーの素,0.34092,130516,ミルクゼリー,0.29775,130528,ｶｯﾌﾟｾﾞﾘｰの素　マスカット,0.28844
17142 0,創味そばつゆ,150155,そばつゆ,0.7069,90415,そば（冷）,0.32792,90511,そば（ゆで）,0.32792
10963 0,甘えび－尾つき,10250,甘えび,0.56242,170509,やさしい素材えび,0.32822,170509,やさしい素材えび,0.32822
50194 0,☆JFSA 錦糸卵500,30200,錦糸卵３ｍｍ,1.0,30201,錦糸卵シート,0.67039,30201,錦糸卵シート,0.67039
50467 0,☆JFSA甘酢生姜(白がり),50651,甘酢生姜,1.0,50645,紅生姜（千切り）,0.31363,560128,甘酢あん(創味食品),0.30851
50187 0,☆ 便利な豆と根菜ｺﾞﾏﾀﾞﾚｻ,510149,冷)マダラ骨なし60g,0.12441,510149,冷)マダラ骨なし60g,0.12441,130675,ゴマ団子,0.11126
50287 0,☆緑豆春雨5㎝ｶｯﾄ(中国),70415,緑豆春雨,0.77074,70410,春雨5cmカット,0.41924,141106,彩り春雨サラダ,0.17938
5049415,じゃが芋のそぼろ煮,141009,里芋のそぼろあんかけ,0.46377,170528,やさしい素材温じゃが芋,0.44135,170528,やさしい素材温じゃが芋,0.44135
5047122,切干彩りサラダ,141106,彩り春雨サラダ,0.2964,50332,サラダ菜 (個）,0.27508,110101,サラダ油（缶）,0.27294
1200401,☆オムライスシート,30202,オムライスシート(オムハットくん）,0.68946,30202,オムライスシート(オムハットくん）,0.68946,130565,パイシート（凍）21*21,0.29267
50098 0,☆<F日給>豚ﾛｰｽｽﾗｲｽ(ｼｬ,20230,豚ローススライス4㎜,0.81415,20231,豚ローススライス2㎜,0.81415,510258,豚ローススライス２ｍｍ厚3cm×7cm,0.71109
7003012,ロールケーキチョコ,130552,カットロールケーキ抹茶,0.529,130550,カットロールケーキバニラ,0.48286,550276,フリーカットロールケーキ　抹茶,0.45735
5215822,★ﾍﾞｼﾞｿｲﾊﾞｰｸﾞ(豆腐ﾊﾝﾊﾞｰｸ,140125,豆腐ハンバーグ60ｇ,0.63741,140125,豆腐ハンバーグ60ｇ,0.63741,570287,冷)ふんわり豆腐ハンバーグ100,0.47149
1842101,水餃子,140153,水餃子16g,1.0,140153,水餃子16g,1.0,140154,餃子17ｇ,0.65742
50366 0,☆しょうゆ麹,150317,味塩こしょう,0.31476,150320,柚子こしょう,0.31395,150318,粗引きこしょう(黒),0.26252
50163 0,☆冷凍ﾜﾝﾀﾝ(8g),140163,肉入りワンタン6.5g,0.82191,140163,肉入りワンタン6.5g,0.82191,140162,中華ワンタン8ｇ,0.71522
50368 0,☆醤油ﾗｰﾒﾝｽｰﾌﾟ,150250,醤油ﾗｰﾒﾝｽｰﾌﾟ,1.0,150256,塩ラーメンスープ,0.70259,150251,味噌ラーメンスープ,0.62809
5007611,★冷凍千切りめかぶ,60140,めかぶ（乾）,0.61078,60159,めかぶ佃煮,0.38767,50480,かぶ(葉付き),0.37842
50435 0,☆ﾌﾙｰﾁｪ ｲﾁｺﾞ(業務用),130541,フルーチェ　ピーチ,0.52241,130545,フルーチェ　みかん,0.45494,130544,フルーチェ　メロン,0.45492
5027313,※黒ごましお,150223,ごましゃぶ,0.41815,130838,黒ごまNプリンMix（レシピ）,0.40818,130536,黒ごまプリンの素（ハウス）,0.34254
52233 0,☆旬菜膳菜 うの花,141007,うの花,0.47045,50170,菜の花,0.28912,50681,味の花,0.18127
13055 0,とろけるスライスチーズ,40311,とろけるスライスチーズ,1.0,40310,スライスチーズ,0.66882,40310,スライスチーズ,0.66882
5126011,さばの生姜煮,10562,さんま生姜煮,0.38598,10554,いわし生姜煮,0.36871,10554,いわし生姜煮,0.36871
1801511,野菜入り鶏つくね冷凍,510207,野菜つみれ,0.15863,510207,野菜つみれ,0.15863,141013,惣菜野菜豆,0.13343
09053 0,もみのり,60111,もみのり,1.0,60110,きざみのり,0.49453,60115,青のり,0.22099
5130113,ミニチキン（旨辛）,170511,やさしい素材チキン,0.62283,170511,やさしい素材チキン,0.62283,510185,冷)ﾐﾆﾁｷﾝﾚﾓﾝﾊｰﾌﾞ24g(味の素),0.564
50232 0,☆Jしっとりまんじゅう黒,550233,水まんじゅう（こしあん）26g,0.48171,550233,水まんじゅう（こしあん）26g,0.48171,130617,黒糖まんじゅう,0.45373
600912,★ｶｯﾄｱｽﾊﾟﾗ缶2号(中国),50462,ホワイトアスパラ缶,0.55255,50461,グリーンアスパラ（冷）,0.38962,50460,グリーン　アスパラ,0.38962
5001222,スナップのおひたし,570143,小松菜のおひたし,0.49811,570144,菜の花おひたし(ﾌｰｽﾞﾗﾝﾄﾞ),0.40679,J570339,柔らか筍と菜の花のおひたし,0.35965
50361 0,☆ﾎﾜｲﾄﾙｳ 食塩相当量80%ｶ,150430,ホワイトソース＃２,0.28883,150100,食塩,0.25711,90304,ホワイトブレッド,0.25066
