query_code,query_name,matched_code_1,matched_name_1,score_1,matched_code_2,matched_name_2,score_2,matched_code_3,matched_name_3,score_3
55440k0,＜Ｆ日給＞豚ﾊﾞﾗｽﾗｼｬﾌﾞ用,20210,豚バラスライス2㎜,0.475,510261,豚バラスライス２ｍｍ厚3cm×7cm3cm,0.41,510259,豚バラスライス2mm厚3cm×7cm,0.41
55226k0,白菜,50371,白菜（冷）,1.0,50370,白菜,1.0,50375,白菜漬,0.588
55196k0,ｿﾌﾄな 金平ごぼう,50390,ごぼう,0.413,170532,やさしい素材温ごぼう,0.285,170532,やさしい素材温ごぼう,0.285
56322k0,V小松菜ｶｯﾄIQF,50162,小松菜（冷）ｶｯﾄIQF15mm,1.0,50161,小松菜IQF（冷）,0.665,50160,小松菜,0.665
55838k0,きざみ揚げ,J570353,きざみ揚げ80ｇ　ｵｼｷﾘ,0.627,100302,刻み揚げ,0.509,60110,きざみのり,0.458
55069k0,ｸﾘﾝｸﾙｺｲﾝｷｬﾛｯﾄ,70105,クリンクルカットポテト,0.415,50104,クリンクル人参（冷）,0.41,50102,冷）ダイスキャロット　１０ｍｍ,0.39
55779k0,JFSAさつまいもｻﾗﾀﾞ,J570352,さつまいもサラダ　JFSA,1.0,500105,冷)さつまいもﾀﾞｲｽ角1Kg10mm,0.488,141010,さつまいも甘露煮,0.458
56333k0,のり佃煮（松）,60151,のり佃煮,1.0,60155,あまのり佃煮,0.731,60153,減塩のり佃煮,0.694
55156k0,白菜ｶｯﾄIQF500ｇ,50162,小松菜（冷）ｶｯﾄIQF15mm,0.53,50371,白菜（冷）,0.479,50370,白菜,0.479
55442k0,＜Ｆ日給＞豚挽肉,20124,鶏もも挽肉二度挽（ミンチ）,0.201,20402,合挽（牛・豚並）,0.156,20401,合挽（二度挽）,0.156
55174k0,JFSA千切り紅生姜,50645,紅生姜（千切り）,0.653,51032,人参　千切り2×3×30ｍｍ,0.293,51029,人参　千切り,0.293
56264k0,ＪＦＳＡ花かつお,50211,かつお菜,0.513,10514,糸かつお,0.513,50602,かつお梅,0.502
55395k0,袋入かに入大焼売27ｇ,30213,かに風味卵焼,0.154,30213,かに風味卵焼,0.154,J510320,ｽﾗｲｽかまぼこ3㎜100入,0.102
56386k0,ペクシーアップル,130511,アップルゼリー,0.435,130511,アップルゼリー,0.435,170350,やわらかアップ,0.256
55038k0,黄桃1缶 ﾀﾞｲｽｶｯﾄ(輸入),80441,黄桃ダイス缶,0.809,80453,白桃ダイス缶,0.524,J540174,黄ピーマンﾀﾞｲｽｶｯﾄ（6㎜）,0.502
55750k0,さつまいもﾀﾞｲｽｶｯﾄ(皮無),500105,冷)さつまいもﾀﾞｲｽ角1Kg10mm,0.759,J570352,さつまいもサラダ　JFSA,0.476,141010,さつまいも甘露煮,0.409
56260k0,Ｖあじ切身骨取60ｇ,10610,あじ骨無切身60ｇ,0.625,10610,あじ骨無切身60ｇ,0.625,10611,あじ骨無切身70ｇ,0.625
56299k0,業務用つきこん白5*61ｋｇ,70520,突きこんにゃく,0.312,50420,れんこん,0.202,170524,やさしい素材温れんこん,0.159
55054k0,VいんげんｶｯﾄMSJFSA,50400,いんげん,0.698,170521,やさしい素材温いんげん,0.558,170521,やさしい素材温いんげん,0.558
55420k0,ＪＦＳＡさつま揚げｽﾗｲｽ,510168,さつま揚げｽﾗｲｽ,1.0,10433,さつま揚げ角型,0.507,10433,さつま揚げ角型,0.507
55099k0,わさび菜おひたし,J570344,わさび菜おひたし,1.0,570144,菜の花おひたし(ﾌｰｽﾞﾗﾝﾄﾞ),0.439,570143,小松菜のおひたし,0.405
